time,temp,oside
3.5662E-07,1941.51992,1975.32261
3.9228E-07,1942.59722,1979.94677
4.2794E-07,1946.87579,1981.57136
4.636E-07,1942.45769,1974.38276
4.9926E-07,1940.40743,1971.73288
5.3493E-07,1948.67776,1979.63608
5.7059E-07,1938.18446,1975.8625
6.0625E-07,1940.49454,1978.2426
6.4191E-07,1942.10551,1976.35663
6.7757E-07,1947.58629,1975.48587
7.1324E-07,1938.28401,1976.1251
7.489E-07,1941.54685,1978.97736
7.8456E-07,1937.53362,1974.21915
8.2022E-07,1942.69065,1971.53691
8.5588E-07,1933.88802,1966.66196
8.9154E-07,1934.38885,1970.11562
9.2721E-07,1938.85369,1968.15092
9.6287E-07,1942.92927,1967.90505
9.9853E-07,1942.01345,1972.96612
1.03419E-06,1938.17753,1968.32084
1.06985E-06,1945.74365,1973.65904
1.10551E-06,1946.43339,1979.41281
1.14118E-06,1951.75629,1974.7053
1.17684E-06,1940.86,1980.61384
1.2125E-06,1940.02209,1982.60058
1.24816E-06,1946.37735,1972.24431
1.28382E-06,1941.4695,1966.08407
1.31949E-06,1940.5376,1969.07187
1.35515E-06,1940.60161,1968.61424
1.39081E-06,1941.21014,1970.04211
1.42647E-06,1938.72251,1969.33421
1.46213E-06,1944.35091,1970.82827
1.49779E-06,1934.55987,1979.94823
1.53346E-06,1943.09692,1976.86004
1.56912E-06,1940.5258,1975.80299
1.60478E-06,1948.03858,1967.70924
1.64044E-06,1944.45688,1969.52127
1.6761E-06,1946.83415,1974.77553
1.71176E-06,1944.41843,1976.06314
1.74743E-06,1942.82535,1975.71503
1.78309E-06,1964.91706,1978.26275
1.81875E-06,1972.14519,1981.87993
1.85441E-06,1978.36985,1984.73975
1.89007E-06,1989.84712,1986.20529
1.92574E-06,1989.40254,1976.65438
1.9614E-06,1990.24085,1980.25358
1.99706E-06,1993.40279,1983.04448
2.03272E-06,1993.70628,1977.98699
2.06838E-06,1994.7541,1985.93967
2.10404E-06,2003.08678,1984.96278
2.13971E-06,2000.92775,1989.7975
2.17537E-06,2010.16728,1990.96481
2.21103E-06,2008.7858,1987.04945
2.24669E-06,2015.66051,1991.24487
2.28235E-06,2013.36538,1993.64748
2.31801E-06,2015.53915,2000.69942
2.35368E-06,2017.87203,1997.01017
2.38934E-06,2024.0866,1996.70249
0.000002425,2026.00684,1999.6367
2.46066E-06,2029.70231,1997.80671
2.49632E-06,2028.86095,1997.79927
2.53199E-06,2031.27364,2003.56236
2.56765E-06,2035.33952,2007.4395
2.60331E-06,2027.37792,2007.71083
2.63897E-06,2032.92607,2003.59251
2.67463E-06,2039.9194,2009.5947
2.71029E-06,2035.06805,2005.6437
2.74596E-06,2038.43345,2007.29295
2.78162E-06,2036.70406,2013.01028
2.81728E-06,2035.08645,2014.82979
2.85294E-06,2034.3415,2016.15548
2.8886E-06,2040.98837,2012.04902
2.92426E-06,2044.48421,2010.81167
2.95993E-06,2039.38379,2013.32847
2.99559E-06,2040.70686,2014.12316
3.03125E-06,2036.17877,2013.90231
3.06691E-06,2037.88935,2014.07442
3.10257E-06,2044.32091,2017.51949
3.13824E-06,2050.66706,2017.20857
3.1739E-06,2046.93271,2018.32936
3.20956E-06,2048.58328,2029.24699
3.24522E-06,2045.01825,2021.23542
3.28088E-06,2026.59813,2017.53204
3.31654E-06,2019.41181,2015.50822
3.35221E-06,2019.33457,2020.0496
3.38787E-06,2013.06914,2015.90803
3.42353E-06,2011.37133,2012.97106
3.45919E-06,2008.55241,2024.71761
3.49485E-06,2005.95267,2016.4249
3.53051E-06,2000.61456,2013.84601
3.56618E-06,1996.91686,2018.62169
3.60184E-06,2002.78132,2011.08415
3.6375E-06,1997.28151,2011.28827
3.67316E-06,1993.64399,2008.89877
3.70882E-06,1988.42425,2015.94835
3.74449E-06,1986.70692,2012.64025
3.78015E-06,1985.72684,2014.07526
3.81581E-06,1985.27429,2004.47791
3.85147E-06,1982.43071,2007.87674
3.88713E-06,1982.17821,2007.20406
3.92279E-06,1982.2963,2004.53611
3.95846E-06,1990.86398,2008.67267
3.99412E-06,1988.19019,2005.95409
4.02978E-06,1986.78292,2004.21217
4.06544E-06,1975.70125,2009.30435
4.1011E-06,1976.70092,2013.32269
4.13676E-06,1976.09356,2011.58783
4.17243E-06,1973.47707,2010.45185
4.20809E-06,1974.15048,1998.05298
4.24375E-06,1972.91072,2003.32007
4.27941E-06,1974.19211,2001.18093
4.31507E-06,1964.82736,2000.96314
4.35074E-06,1968.756,2001.30647
4.3864E-06,1974.673,2000.36454
4.42206E-06,1973.72607,2005.97
4.45772E-06,1975.43726,2003.91251
4.49338E-06,1970.42001,1998.02247
4.52904E-06,1970.55695,1999.87025
4.56471E-06,1975.17628,1998.79193
4.60037E-06,1967.10292,1994.07122
4.63603E-06,1964.8741,1997.95225
4.67169E-06,1970.6448,2005.54792
4.70735E-06,1970.41002,1998.791
4.74301E-06,1960.61641,1994.84788
4.77868E-06,1965.50013,1993.08524
4.81434E-06,1966.54507,1998.98373
0.00000485,1963.29694,1989.87634
4.88566E-06,1966.121,1996.45147
4.92132E-06,1969.23142,1991.30882
4.95699E-06,1965.29966,1993.80491
4.99265E-06,1967.85602,1997.90096
5.02831E-06,1964.94835,1997.28537
5.06397E-06,1963.77698,1992.68129
5.09963E-06,1958.50706,1998.12106
5.13529E-06,1955.17845,1990.26209
5.17096E-06,1960.4073,1989.32514
5.20662E-06,1959.70431,1986.5802
5.24228E-06,1960.66443,1993.65108
5.27794E-06,1964.22393,1989.81404
5.3136E-06,1958.2612,1979.39812
5.34926E-06,1953.93702,1987.4995
5.38493E-06,1956.38711,1983.72549
5.42059E-06,1945.25866,1992.62727
5.45625E-06,1944.52469,1988.8748
5.49191E-06,1948.86764,1984.52971
5.52757E-06,1954.03804,1985.14322
5.56324E-06,1955.75601,1983.14118
5.5989E-06,1956.99048,1989.2385
5.63456E-06,1959.18711,1994.45765
5.67022E-06,1953.05505,1987.29789
5.70588E-06,1951.01665,1988.65145
5.74154E-06,1949.98634,1985.307
5.77721E-06,1951.59116,1986.29506
5.81287E-06,1958.19587,1986.59427
5.84853E-06,1953.71941,1979.07299
5.88419E-06,1946.23012,1986.31629
5.91985E-06,1939.60744,1984.65937
5.95551E-06,1943.55482,1982.20037
5.99118E-06,1953.49463,1985.83682
6.02684E-06,1946.92716,1986.87266
6.0625E-06,1949.42095,1983.70577
6.09816E-06,1940.88334,1984.66081
6.13382E-06,1951.11407,1980.96757
6.16949E-06,1949.76909,1983.26154
6.20515E-06,1944.5929,1983.86979
6.24081E-06,1952.63452,1974.31965
6.27647E-06,1954.39711,1982.02569
6.31213E-06,1946.64387,1979.92968
6.34779E-06,1947.57589,1980.89252
6.38346E-06,1953.34953,1980.52391
6.41912E-06,1953.46136,1977.73325
6.45478E-06,1949.93314,1975.76869
6.49044E-06,1945.87458,1980.89944
6.5261E-06,1946.44276,1980.36425
6.56176E-06,1955.77582,1984.76492
6.59743E-06,1954.00232,1982.97392
6.63309E-06,1949.6575,1979.41166
6.66875E-06,1946.09127,1972.7325
6.70441E-06,1945.62595,1978.1872
6.74007E-06,1948.59298,1980.63286
6.77574E-06,1950.36973,1984.43689
6.8114E-06,1945.99086,1983.78921
6.84706E-06,1939.32096,1975.97675
6.88272E-06,1939.63523,1971.47945
6.91838E-06,1940.56875,1980.00375
6.95404E-06,1943.63988,1986.51627
6.98971E-06,1945.73273,1987.85875
7.02537E-06,1949.34639,1978.61644
7.06103E-06,1938.43169,1978.05079
7.09669E-06,1943.09989,1981.6691
7.13235E-06,1946.1415,1979.67957
7.16801E-06,1944.7219,1978.88219
7.20368E-06,1942.76319,1982.7602
7.23934E-06,1946.25014,1976.07415
0.000007275,1949.21387,1976.01346
7.31066E-06,1947.3507,1975.54587
7.34632E-06,1955.4555,1976.14943
7.38199E-06,1944.64853,1978.33079
7.41765E-06,1942.01218,1983.22602
7.45331E-06,1942.84364,1977.22219
7.48897E-06,1950.51967,1984.64486
7.52463E-06,1952.79357,1977.66927
7.56029E-06,1945.7492,1972.81261
7.59596E-06,1949.42252,1976.74161
7.63162E-06,1944.85617,1979.15892
7.66728E-06,1938.71588,1975.80635
7.70294E-06,1938.07074,1977.15984
7.7386E-06,1944.49559,1979.30061
7.77426E-06,1948.53484,1977.48198
7.80993E-06,1944.36948,1981.36702
7.84559E-06,1940.89693,1973.56976
7.88125E-06,1951.5524,1975.17251
7.91691E-06,1948.47089,1970.45241
7.95257E-06,1954.11527,1977.06476
7.98824E-06,1952.31278,1983.20131
8.0239E-06,1951.36156,1975.59728
8.05956E-06,1950.40984,1977.43475
8.09522E-06,1940.77517,1978.73266
8.13088E-06,1938.40723,1976.96774
8.16654E-06,1942.92969,1974.5972
8.20221E-06,1944.30025,1976.75403
8.23787E-06,1946.52845,1981.14523
8.27353E-06,1951.93642,1980.14418
8.30919E-06,1945.72049,1977.97625
8.34485E-06,1942.19692,1972.05447
8.38051E-06,1942.40724,1973.372
8.41618E-06,1941.92572,1970.32597
8.45184E-06,1942.2256,1972.73676
8.4875E-06,1945.68572,1975.37495
8.52316E-06,1939.10191,1976.3409
