time,temp,oside
3.5662E-07,2212.47906,2198.36531
3.9228E-07,2203.92906,2213.73924
4.2794E-07,2210.55119,2203.71732
4.636E-07,2207.55302,2199.57611
4.9926E-07,2222.26204,2206.10532
5.3493E-07,2232.6188,2205.07929
5.7059E-07,2220.76259,2202.01396
6.0625E-07,2220.46153,2199.05231
6.4191E-07,2213.72032,2206.76288
6.7757E-07,2223.14425,2198.76121
7.1324E-07,2224.2752,2201.27699
7.489E-07,2218.09893,2198.64487
7.8456E-07,2214.69797,2195.27419
8.2022E-07,2205.68016,2194.64062
8.5588E-07,2207.79493,2201.68614
8.9154E-07,2203.82532,2203.47224
9.2721E-07,2207.58892,2207.13322
9.6287E-07,2206.97258,2197.79299
9.9853E-07,2207.87132,2204.48683
1.03419E-06,2206.42284,2204.62947
1.06985E-06,2200.92224,2199.7679
1.10551E-06,2199.81303,2205.68104
1.14118E-06,2204.65372,2200.57237
1.17684E-06,2210.76466,2207.28505
1.2125E-06,2214.04576,2204.83726
1.24816E-06,2206.30964,2209.38368
1.28382E-06,2212.29157,2205.48293
1.31949E-06,2199.79531,2210.64682
1.35515E-06,2206.29992,2199.4598
1.39081E-06,2205.59124,2212.10887
1.42647E-06,2196.81071,2191.45568
1.46213E-06,2198.73307,2201.51784
1.49779E-06,2208.73801,2205.97703
1.53346E-06,2202.16428,2211.85879
1.56912E-06,2205.34725,2200.83528
1.60478E-06,2217.29675,2204.61626
1.64044E-06,2228.44936,2199.44158
1.6761E-06,2211.7531,2201.84485
1.71176E-06,2212.28281,2209.4537
1.74743E-06,2201.89871,2203.43665
1.78309E-06,2223.00823,2202.99924
1.81875E-06,2239.51356,2204.4401
1.85441E-06,2249.04855,2194.06935
1.89007E-06,2255.29823,2206.67316
1.92574E-06,2247.57811,2208.04557
1.9614E-06,2245.70235,2217.74617
1.99706E-06,2251.21368,2222.20567
2.03272E-06,2263.17539,2229.39194
2.06838E-06,2280.11985,2219.02579
2.10404E-06,2287.3875,2210.93036
2.13971E-06,2274.58237,2212.91603
2.17537E-06,2282.21537,2212.10094
2.21103E-06,2280.16977,2222.13315
2.24669E-06,2284.04452,2223.97366
2.28235E-06,2277.33449,2241.16532
2.31801E-06,2274.12931,2240.7225
2.35368E-06,2299.85635,2229.85972
2.38934E-06,2305.12354,2225.0415
0.000002425,2303.657,2224.79741
2.46066E-06,2300.30922,2235.95487
2.49632E-06,2297.29466,2244.67263
2.53199E-06,2296.31875,2237.51839
2.56765E-06,2295.29152,2237.73928
2.60331E-06,2295.19053,2234.87252
2.63897E-06,2290.39008,2230.67956
2.67463E-06,2301.31961,2234.94616
2.71029E-06,2305.81022,2235.32762
2.74596E-06,2314.05921,2230.47364
2.78162E-06,2312.40452,2242.55014
2.81728E-06,2309.78314,2247.51451
2.85294E-06,2316.29612,2256.69502
2.8886E-06,2300.29578,2247.68285
2.92426E-06,2321.73064,2245.76517
2.95993E-06,2320.49315,2239.31188
2.99559E-06,2312.32054,2243.64857
3.03125E-06,2312.89228,2258.12827
3.06691E-06,2321.94367,2262.29879
3.10257E-06,2304.57908,2265.03295
3.13824E-06,2312.18295,2270.53353
3.1739E-06,2308.89324,2262.99267
3.20956E-06,2302.05719,2260.53954
3.24522E-06,2295.95851,2253.15159
3.28088E-06,2292.79774,2256.44628
3.31654E-06,2288.33709,2254.01871
3.35221E-06,2288.29612,2242.88431
3.38787E-06,2289.11562,2244.73456
3.42353E-06,2281.03837,2253.68302
3.45919E-06,2285.32664,2262.50563
3.49485E-06,2276.57613,2256.24146
3.53051E-06,2291.88365,2248.91853
3.56618E-06,2282.87331,2259.25192
3.60184E-06,2268.16392,2258.18716
3.6375E-06,2271.60644,2259.41052
3.67316E-06,2269.39889,2259.74834
3.70882E-06,2269.55473,2249.03437
3.74449E-06,2265.61015,2242.61557
3.78015E-06,2263.66943,2242.62602
3.81581E-06,2249.00067,2248.08741
3.85147E-06,2252.65468,2239.76824
3.88713E-06,2255.95815,2244.21884
3.92279E-06,2252.36607,2250.55441
3.95846E-06,2253.16762,2239.2971
3.99412E-06,2259.77916,2236.63905
4.02978E-06,2255.48862,2236.97058
4.06544E-06,2243.97295,2247.00151
4.1011E-06,2248.77797,2237.89833
4.13676E-06,2241.8754,2237.97029
4.17243E-06,2247.67474,2251.99992
4.20809E-06,2252.68817,2253.14517
4.24375E-06,2244.9641,2240.1552
4.27941E-06,2256.31948,2231.81817
4.31507E-06,2248.90615,2222.18427
4.35074E-06,2237.85395,2224.01362
4.3864E-06,2230.20273,2240.70333
4.42206E-06,2233.73682,2226.79058
4.45772E-06,2227.02613,2229.73125
4.49338E-06,2245.51827,2239.45648
4.52904E-06,2246.9408,2240.41052
4.56471E-06,2242.51055,2231.44873
4.60037E-06,2222.35424,2224.12181
4.63603E-06,2225.10859,2230.68132
4.67169E-06,2231.11387,2224.37543
4.70735E-06,2242.52554,2231.78916
