time,temp,oside,,,
5.53E-06,2578.48631,2609.88984,,,
5.56E-06,2582.79069,2605.89426,,,
5.60E-06,2583.24214,2607.43779,,,
5.63E-06,2575.74765,2604.51144,,,
5.67E-06,2582.85746,2609.29868,,,
5.71E-06,2584.88437,2599.58438,,,
5.74E-06,2582.13437,2605.53423,,,
5.78E-06,2579.27214,2604.12439,,,
5.81E-06,2580.74219,2605.01266,,,
5.85E-06,2575.26315,2592.25889,,,
5.88E-06,2578.10228,2594.47879,,,
5.92E-06,2581.712,2605.58332,,,
5.96E-06,2580.11834,2605.26744,,,
5.99E-06,2578.05229,2600.807,,,
6.03E-06,2584.5756,2608.05522,,,
6.06E-06,2574.54626,2605.1786,,,
6.10E-06,2576.45873,2601.71527,,,
6.13E-06,2584.09371,2604.75383,,,
6.17E-06,2580.16273,2600.20334,,,
6.21E-06,2576.45845,2603.69114,,,
6.24E-06,2583.75378,2605.55699,,,
6.28E-06,2587.70576,2604.89794,,,
6.31E-06,2578.69636,2602.37734,,,
6.35E-06,2586.36087,2598.63648,,,
6.38E-06,2584.37458,2599.5286,,,
6.42E-06,2580.94331,2606.50793,,,
6.45E-06,2582.61774,2602.05362,,,
6.49E-06,2571.04265,2608.66115,,,
6.53E-06,2572.4392,2596.04293,,,
6.56E-06,2574.37608,2603.85561,,,
6.60E-06,2575.85249,2601.63783,,,
6.63E-06,2578.29297,2600.63146,,,
6.67E-06,2577.13458,2610.57302,,,
6.70E-06,2576.89261,2609.82165,,,
6.74E-06,2576.77868,2597.53611,,,
6.78E-06,2577.80811,2597.33949,,,
6.81E-06,2578.96305,2599.83633,,,
6.85E-06,2581.7663,2599.84427,,,
6.88E-06,2574.07786,2598.42729,,,
6.92E-06,2573.48933,2593.95382,,,
6.95E-06,2568.60046,2599.88662,,,
6.99E-06,2573.72666,2602.06217,,,
7.03E-06,2578.4985,2605.82523,,,
7.06E-06,2571.59072,2604.0698,,,
7.10E-06,2569.00977,2594.52149,,,
7.13E-06,2580.2326,2605.9138,,,
7.17E-06,2573.38776,2596.32695,,,
7.20E-06,2578.30614,2603.19954,,,
7.24E-06,2585.69772,2602.34496,,,
0.000007275,2584.0783,2607.74914,,,
7.31E-06,2581.51848,2602.17279,,,
7.35E-06,2573.00091,2599.62113,,,
7.38E-06,2573.22169,2599.0962,,,
7.42E-06,2570.06533,2599.54055,,,
7.45E-06,2573.31146,2602.01774,,,
7.49E-06,2570.89949,2599.62021,,,
7.52E-06,2577.72357,2593.6911,,,
7.56E-06,2578.31954,2598.86167,,,
7.60E-06,2578.32372,2597.02582,,,
7.63E-06,2574.90274,2603.99217,,,
7.67E-06,2566.7957,2605.46474,,,
7.70E-06,2569.10372,2606.25073,,,
7.74E-06,2571.93056,2602.37732,,,
7.77E-06,2583.49839,2598.28124,,,
7.81E-06,2564.7051,2604.09611,,,
7.85E-06,2569.04255,2602.48961,,,
7.88E-06,2569.80023,2594.22294,,,
7.92E-06,2568.43395,2598.84449,,,
7.95E-06,2575.90639,2602.77311,,,
7.99E-06,2582.9376,2593.353,,,
8.02E-06,2579.51727,2594.18825,,,
8.06E-06,2560.1721,2600.16142,,,
8.10E-06,2569.54027,2603.80964,,,
8.13E-06,2570.9892,2601.97073,,,
8.17E-06,2566.29382,2600.7569,,,
8.20E-06,2572.79773,2599.66072,,,
8.24E-06,2568.73803,2591.52703,,,
8.27E-06,2567.75269,2598.543,,,
8.31E-06,2567.65307,2597.28996,,,
8.34E-06,2577.46761,2609.1588,,,
8.38E-06,2582.42338,2602.8262,,,
8.42E-06,2580.08767,2593.44179,,,
8.45E-06,2571.35152,2591.94873,,,
8.49E-06,2573.94077,2588.65538,,,
8.52E-06,2568.26152,2589.43782,,,8.52316
