time,temp,oside
3.5662E-07,1888.255165,1932.99106
3.9228E-07,1878.489369,1927.14815
4.2794E-07,1882.351653,1925.69929
4.636E-07,1885.441502,1933.94194
4.9926E-07,1877.124509,1939.84234
5.3493E-07,1876.614307,1943.89069
5.7059E-07,1884.26881,1938.05566
6.0625E-07,1893.378934,1935.5756
6.4191E-07,1884.404686,1940.87834
6.7757E-07,1880.699314,1936.43729
7.1324E-07,1877.841969,1940.03607
7.489E-07,1886.450142,1931.22172
7.8456E-07,1891.731268,1927.03779
8.2022E-07,1881.540712,1929.1498
8.5588E-07,1886.369897,1924.37192
8.9154E-07,1885.175227,1925.74948
9.2721E-07,1885.743928,1932.01124
9.6287E-07,1881.963057,1938.64732
9.9853E-07,1876.318124,1935.29368
1.03419E-06,1891.127465,1927.81826
1.06985E-06,1891.999959,1939.22448
1.10551E-06,1892.932789,1929.16708
1.14118E-06,1872.724811,1927.95506
1.17684E-06,1868.314925,1924.44746
1.2125E-06,1878.130625,1921.27986
1.24816E-06,1885.803436,1932.39868
1.28382E-06,1877.274541,1927.36151
1.31949E-06,1878.875786,1921.81711
1.35515E-06,1885.267436,1931.82928
1.39081E-06,1878.475952,1933.86127
1.42647E-06,1884.781507,1939.62087
1.46213E-06,1879.111437,1932.91301
1.49779E-06,1885.033468,1934.90505
1.53346E-06,1895.810372,1928.78146
1.56912E-06,1894.521613,1934.85608
1.60478E-06,1887.951701,1931.90651
1.64044E-06,1898.932723,1939.52174
1.6761E-06,1900.777184,1940.9372
1.71176E-06,1900.138042,1943.13581
1.74743E-06,1910.921888,1953.86698
1.78309E-06,1942.810752,1954.69616
1.81875E-06,1948.478566,1960.66223
1.85441E-06,1959.355219,1963.29264
1.89007E-06,1977.867345,1979.86408
1.92574E-06,1993.078155,1982.24887
1.9614E-06,2012.619132,1987.42668
1.99706E-06,2012.959026,1996.73727
2.03272E-06,2024.052327,2005.16731
2.06838E-06,2034.371853,2007.6781
2.10404E-06,2035.067672,2023.84492
2.13971E-06,2034.200612,2031.47039
2.17537E-06,2043.932397,2029.50185
2.21103E-06,2042.859277,2026.28376
2.24669E-06,2049.806533,2034.74684
2.28235E-06,2054.727129,2039.69286
2.31801E-06,2060.945296,2039.96379
2.35368E-06,2063.906037,2043.65957
2.38934E-06,2067.453885,2045.04642
0.000002425,2067.920986,2047.15196
2.46066E-06,2078.57626,2054.38628
2.49632E-06,2084.290346,2059.25522
2.53199E-06,2081.636451,2061.45288
2.56765E-06,2082.666956,2066.32307
2.60331E-06,2080.14125,2063.87756
2.63897E-06,2081.493249,2061.65662
2.67463E-06,2081.949788,2066.33434
2.71029E-06,2083.623564,2068.55633
2.74596E-06,2086.539186,2066.2216
2.78162E-06,2093.274145,2065.55793
2.81728E-06,2087.164773,2072.43477
2.85294E-06,2094.547573,2067.13644
2.8886E-06,2102.08379,2070.31318
2.92426E-06,2093.400863,2076.09753
2.95993E-06,2096.571782,2080.07888
2.99559E-06,2097.973602,2079.28835
3.03125E-06,2095.35541,2074.40256
3.06691E-06,2097.581019,2080.6071
3.10257E-06,2101.048932,2079.82607
3.13824E-06,2092.286812,2080.83847
3.1739E-06,2090.217515,2077.92793
3.20956E-06,2085.368521,2075.93741
3.24522E-06,2085.927236,2075.34774
3.28088E-06,2069.310124,2066.57348
3.31654E-06,2050.598109,2056.23006
3.35221E-06,2031.868858,2045.28581
3.38787E-06,2016.612691,2042.21836
3.42353E-06,2014.623603,2041.59962
3.45919E-06,2016.152281,2037.70948
3.49485E-06,2011.156237,2032.37958
3.53051E-06,1997.241554,2030.12682
3.56618E-06,1985.064518,2019.54512
