time,temp,oside
1.0625e-06,1888.373813191408,1998.266635091084
1.4875e-06,1887.077034712005,2000.5236959582537
1.9125e-06,1889.2654526194012,2008.908218351546
2.3375e-06,1888.9035985455785,2004.933683692996
2.7625e-06,1889.718522087906,2003.106237628539
3.1875e-06,1888.7429036144135,1997.9472008192697
3.6125e-06,1889.2329779843324,2002.5890689543637
4.0375e-06,1895.5938148192408,2003.450991284444
4.4625e-06,1900.472353329096,2001.084978684952
4.8875e-06,1908.3700456574325,1999.785588683518
5.3125e-06,1923.1717834128892,2003.7986747273071
5.7375e-06,1982.4358252800832,2006.1729643809103
6.1625e-06,2212.5480489533747,2002.3954854418992
6.5875e-06,2325.7301798499843,2008.10362326458
7.0125e-06,2268.4686398690874,2013.440528844228
7.4375e-06,2201.716855002285,2029.2683649147627
7.8625e-06,2165.4961887609725,2042.67568827512
8.2875e-06,2133.167056726621,2053.3727613087567
8.7125e-06,2109.039732593496,2055.062906755895
9.1375e-06,2087.076854877793,2055.722670912109
9.5625e-06,2073.72038778426,2059.8356219779444
9.9875e-06,2056.971365015472,2060.017061319229
1.04125e-05,2046.3859131158904,2059.3890298471497
1.08375e-05,2034.327977322836,2052.851069053202
1.12625e-05,2020.8524554145145,2058.426140845279
1.16875e-05,2010.3172164862624,2045.5718716767235
1.21125e-05,1998.001989013072,2050.760572534432
1.25375e-05,1985.760667353972,2049.573730383818
1.29625e-05,1980.3337418580468,2045.5826320054125
1.33875e-05,1969.2097457584189,2050.5326968850163
1.38125e-05,1958.0020930492783,2037.8376329550435
1.42375e-05,1951.4240331416768,2031.6209392775595
1.46625e-05,1945.0496583079068,2036.9792076884348
1.50875e-05,1941.6907625980505,2031.5461420532235
1.55125e-05,1933.0338657172024,2030.6744557889756
1.59375e-05,1933.730071194654,2031.5539074528915
1.63625e-05,1922.7455404308316,2027.1613743094804
1.67875e-05,1918.10218670071,2024.3208761640112
1.72125e-05,1919.077731980293,2022.2266538407537
1.76375e-05,1913.744442639369,2018.298679192872
1.80625e-05,1914.5996255335056,2017.559138634968
1.84875e-05,1911.2304385738844,2017.294625797345
1.89125e-05,1907.512534030616,2017.90319981318
1.93375e-05,1904.5955563807745,2014.292523521632
1.97625e-05,1900.929572612066,2009.031387463915
2.01875e-05,1903.3580848087336,2010.831625631839
2.06125e-05,1900.2981175630784,2006.8896329226025
2.10375e-05,1902.554515458836,2006.8863423260411
2.14625e-05,1900.1314715353096,2005.7513133302232
2.18875e-05,1897.573725618954,2007.404573957632
2.23125e-05,1896.45682699894,2006.440905845538
